Departure station,Departure,Return station,Return,Duration (sec.),Covered distance (m),departure_latitude,departure_longitude,return_latitude,return_longitude
Renouvier,2023-12-15 17:56:44,Renouvier,2023-12-15 21:48:35,13906,15288.0,43.60358,3.8678865,43.60358,3.8678865
Gambetta,2023-12-15 17:52:18,Nouveau Saint-Roch,2023-12-15 20:47:11,10489,4039.0,43.6040006,3.8713632,43.5992903,3.8756446
Occitanie,2023-12-15 17:52:07,Saint-Guilhem - Courreau,2023-12-15 18:04:53,762,3399.0,43.6343466,3.8486780499999984,43.6081132,3.8735064
Saint-Denis,2023-12-15 17:42:14,Médiathèque Emile Zola,2023-12-15 17:50:21,483,1841.0,43.6050394,3.8750227,43.6082468,3.8930561
Fac des Sciences,2023-12-15 17:42:13,Père Soulas,2023-12-15 17:49:37,438,1462.0,43.6312537,3.8612405,43.6219699,3.855618
Parvis Jules Ferry,2023-12-15 17:41:07,Gambetta,2023-12-15 17:48:03,412,1157.0,43.87068,3.83801,43.6040006,3.8713632
Vert Bois,2023-12-15 17:39:20,Saint-Guilhem - Courreau,2023-12-15 17:52:33,788,3416.0,,,43.6081132,3.8735064
Saint-Denis,2023-12-15 17:39:19,Saint-Denis,2023-12-15 17:41:27,124,22.0,43.6050394,3.8750227,43.6050394,3.8750227
Saint-Denis,2023-12-15 17:38:20,Saint-Denis,2023-12-15 17:38:40,17,0.0,43.6050394,3.8750227,43.6050394,3.8750227
Fac des Sciences,2023-12-15 17:33:02,Parvis Jules Ferry,2023-12-15 17:55:12,1325,3598.0,43.6312537,3.8612405,43.87068,3.83801
Comédie,2023-12-15 17:31:05,Médiathèque Emile Zola,2023-12-15 17:39:46,517,1368.0,43.60918635,3.8815040936105776,43.6082468,3.8930561
Port Marianne,2023-12-15 17:30:34,Richter,2023-12-15 23:35:38,21902,2423.0,43.6059165,3.9168169,43.6037969,3.8989223
Rondelet,2023-12-15 17:30:24,Parvis Jules Ferry,2023-12-15 17:40:38,609,553.0,43.6041463,3.874830799999999,43.87068,3.83801
Comédie,2023-12-15 17:29:38,Comédie,2023-12-15 17:30:32,50,8.0,43.60918635,3.8815040936105776,43.60918635,3.8815040936105776
Place Albert 1er - St-Charles,2023-12-15 17:28:03,Aiguelongue,2023-12-15 17:38:42,635,1703.0,43.6165623,3.874061,43.6331438,3.8795261
Jardin de la Lironde,2023-12-15 17:26:49,Montpellier Sud de France,2023-12-15 17:34:07,435,1631.0,43.6058517,3.9115715,43.595115,3.9239637
Port Marianne,2023-12-15 17:26:24,Nombre d'Or,2023-12-15 17:37:47,679,2050.0,43.6059165,3.9168169,43.6079002,3.8866534
Renouvier,2023-12-15 17:25:16,Charles Flahault,2023-12-15 17:37:18,718,1711.0,43.60358,3.8678865,43.6184031,3.8663896
Renouvier,2023-12-15 17:24:35,Près d'Arènes,2023-12-15 17:36:12,692,2213.0,43.60358,3.8678865,43.5936317,3.8877518
Malbosc,2023-12-15 17:19:29,Comédie,2023-12-15 17:42:21,1366,5172.0,43.634623000000005,3.833112359072003,43.60918635,3.8815040936105776
Richter,2023-12-15 17:18:43,Nombre d'Or,2023-12-15 17:27:40,533,1576.0,43.6037969,3.8989223,43.6079002,3.8866534
Comédie,2023-12-15 17:18:28,Boutonnet,2023-12-15 17:28:02,569,2293.0,43.60918635,3.8815040936105776,43.6198269,3.8681402
Boutonnet,2023-12-15 17:17:27,Odysseum,2023-12-15 17:44:11,1601,6009.0,43.6198269,3.8681402,43.60441055,3.9212018171142855
Médiathèque Emile Zola,2023-12-15 17:15:40,Nouveau Saint-Roch,2023-12-15 20:15:37,10793,7385.0,43.6082468,3.8930561,43.5992903,3.8756446
Comédie,2023-12-15 17:10:07,Médiathèque Emile Zola,2023-12-15 17:18:07,476,1435.0,43.60918635,3.8815040936105776,43.6082468,3.8930561
Euromédecine,2023-12-15 17:08:54,Occitanie,2023-12-15 17:19:27,629,2570.0,43.63893875,3.827694941374258,43.6343466,3.8486780499999984
Comédie,2023-12-15 17:02:17,Renouvier,2023-12-15 17:15:52,809,1194.0,43.60918635,3.8815040936105776,43.60358,3.8678865
Vert Bois,2023-12-15 16:58:48,Sabines,2023-12-15 17:29:51,1859,6577.0,,,43.5842231,3.8600317
Louis Blanc,2023-12-15 16:54:30,Aiguelongue,2023-12-15 17:03:35,540,1519.0,43.6146919,3.8782052427712976,43.6331438,3.8795261
Pérols,2023-12-15 16:52:41,Pérols,2023-12-15 18:54:20,7295,4737.0,43.557928,3.963561,43.557928,3.963561
Pérols,2023-12-15 16:51:39,Pérols,2023-12-15 18:53:12,7289,4696.0,43.557928,3.963561,43.557928,3.963561
Comédie,2023-12-15 16:51:24,Vert Bois,2023-12-15 17:10:51,1163,3849.0,43.60918635,3.8815040936105776,,
Charles Flahault,2023-12-15 16:50:38,Saint-Guilhem - Courreau,2023-12-15 16:56:29,345,1259.0,43.6184031,3.8663896,43.6081132,3.8735064
Hôtel du Département,2023-12-15 16:47:49,Louis Blanc,2023-12-15 21:49:28,18095,5833.0,43.6219459,3.8349231,43.6146919,3.8782052427712976
Pérols,2023-12-15 16:47:29,Pérols,2023-12-15 18:09:39,4927,7408.0,43.557928,3.963561,43.557928,3.963561
